Sample,Quality Control,,System,,,,Overall Polymer,,,,,Individual Block 1,,,,,,,,,Individual Block 2,,,,,,,,,Individual Block 3,,,,,,,,,Standard Deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard Error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Uncertainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ind,ORCID,DOI,phase1,phase2,T,notes,BigSMILES,Mn,Mw,D,N,name1,Mn1,Mw1,D1,N1,f1,ftot1,w1,rho1,name2,Mn2,Mw2,D2,N2,f2,ftot2,w2,rho2,name3,Mn3,Mw3,D3,N3,f3,ftot3,w3,rho3,Tstd,Mnstd,Mwstd,Dstd,Nstd,Mn1std,Mw1std,D1std,N1std,f1std,ftot1std,w1std,rho1std,Mn2std,Mw2std,D2std,N2std,f2std,ftot2std,w2std,rho2std,Mn3std,Mw3std,D3std,N3std,f3std,ftot3std,w3std,rho3std,Tse,Mnse,Mwse,Dse,Nse,Mn1se,Mw1se,D1se,N1se,f1se,ftot1se,w1se,rho1se,Mn2se,Mw2se,D2se,N2se,f2se,ftot2se,w2se,rho2se,Mn3se,Mw3se,D3se,N3se,f3se,ftot3se,w3se,rho3se,Tunc,Tdesc,Mnunc,Mndesc,Mwunc,Mwdesc,Dunc,Ddesc,Nunc,Ndesc,Mn1unc,Mn1desc,Mw1unc,Mw1desc,D1unc,D1desc,N1unc,N1desc,f1unc,f1desc,ftot1unc,ftot1desc,w1unc,w1desc,rho1unc,rho1desc,Mn2unc,Mn2desc,Mw2unc,Mw2desc,D2unc,D2desc,N2unc,N2desc,f2unc,f2desc,ftot2unc,ftot2desc,w2unc,w2desc,rho2unc,rho2desc,Mn3unc,Mn3desc,Mw3unc,Mw3desc,D3unc,D3desc,N3unc,N3desc,f3unc,f3desc,ftot3unc,ftot3desc,w3unc,w3desc,rho3unc,rho3desc
0,0000-0003-3977-1278,https://doi.org/10.1021/ja991442h,gyroid,,60,"""The powder data were collected at 60 °C""…""The ISD triblock copolymer studied in this report has volumefractions of 0.40/0.41/0.19, respectively and a molecular weight of 41 000 g/mol. We show that the morphology of this triblock is a core-shell gyroid structure with an Ia3hd space-group symmetry""","CCC(C){[$][$]C\C=C(C)/C[$],[$]C\C=C(C)\C[$],[$]CC(C(C)=C)[$],[$]CC(C)(C=C)[$][$]}{[$][$]CC(c1ccccc1)[$][$]}{[>][<][Si](C)(C)O[>][<]}",41000,,,,PI,14900,,,,0.4,0.4,,0.83,PS,18400,,,,0.41,0.41,,0.969,PDMS,7700,,,,0.19,0.19,,0.895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0000-0003-3977-1278,https://doi.org/10.1021/ma011716x,LAM2,,155,"""Figure 3 SAXS data from the parent PI−PS diblock copolymer (90 °C, top), and SAXS (155 °C, middle) and TEM (OsO4 stained, bottom) results from a PI−PS−PEO triblock copolymer containing 9.8 vol % PEO. These results are consistent with two-domain (PI and mixed PS/PEO) lamellae (LAM2) morphologies.""","{[$][$]C\C=C(C)/C[$],[$]C\C=C(C)\C[$],[$]CC(C(C)=C)[$],[$]CC(C)(C=C)[$][$]}{[$][$]CC(c1ccccc1)[$][$]}{[>][<]CCO[>][<]}",15240,16002,1.05,,PI,,,,,0.448,0.448,,,PS,,,,,0.454,0.454,,,PEO,,,,,0.098,0.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0000-0003-3977-1278,https://doi.org/10.1021/ma011716x,LAM3,,180,"""Figure 4 SAXS (180 °C, top) and TEM (OsO4 stained, bottom) data from the PI−PS−PEO triblock copolymer containing 30% PEO. These results are consistent with a three-domain lamellae (LAM3) morphology.""","{[$][$]C\C=C(C)/C[$],[$]C\C=C(C)\C[$],[$]CC(C(C)=C)[$],[$]CC(C)(C=C)[$][$]}{[$][$]CC(c1ccccc1)[$][$]}{[>][<]CCO[>][<]}",20380,21399,1.05,,PI,,,,,0.347,0.347,,,PS,,,,,0.352,0.352,,,PEO,,,,,0.301,0.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
